city,users,longitude,latitude
"san francisco, california",31064,-122.431297,37.773972

"oakland, california",7214,-122.271111,37.804363

"berkeley, california",4212,-122.27275,37.87159

"san mateo, california",1331,-122.32553,37.56299

"palo alto, california",1064,-122.143936,37.468319

"alameda, california",910,-122.241638,37.765205

"san rafael, california",755,-122.53108,37.9735346

"hayward, california",747,-122.080795,37.668819

"emeryville, california",738,-122.285248,37.831318

"redwood city, california",693,-122.2363548,37.4852152

